"userId","inTime","outTime","currentDate"
"1","08:00","16:30","2019-02-06"
"1","08:00","16:30","2019-02-07"
"1","08:00","16:30","2019-02-08"
"1","08:00","16:30","2019-02-09"
"1","08:00","16:30","2019-02-10"
"1","08:00","16:30","2019-02-11"
"1","08:00","16:30","2019-02-12"
"1","08:00","16:30","2019-02-13"
"1","08:00","16:30","2019-02-14"
"1","08:00","16:30","2019-02-15"
"1","08:00","16:30","2019-02-16"
"1","08:00","16:30","2019-02-17"
"1","08:00","16:30","2019-02-18"
"1","08:00","16:30","2019-02-19"
"1","08:00","16:30","2019-02-20"
"1","08:00","16:30","2019-02-21"
"1","08:00","16:30","2019-02-22"
"1","08:00","16:30","2019-02-23"
"1","08:00","16:30","2019-02-24"
"1","08:00","16:30","2019-02-25"
"1","08:00","16:30","2019-02-26"
"1","08:00","16:30","2019-02-27"
"1","08:00","16:30","2019-02-28"
"1","08:00","16:30","2019-03-01"
"1","08:00","16:30","2019-03-02"
"1","08:00","16:30","2019-03-03"
"1","08:00","16:30","2019-03-04"
"1","08:00","16:30","2019-03-05"
"2","08:00","16:30","2019-03-01"
"2","08:00","16:30","2019-03-02"
"2","08:00","16:30","2019-03-03"
"2","08:00","16:30","2019-03-04"
"2","08:00","16:30","2019-03-05"
"1","08:00","16:30","2019-03-06"
"1","08:00","16:30","2019-03-07"
"1","08:00","16:30","2019-03-08"
"1","08:00","16:30","2019-03-09"
"1","08:00","16:30","2019-03-10"
"1","08:00","16:30","2019-03-11"
"1","08:00","16:30","2019-03-12"
"1","08:00","16:30","2019-03-13"
"1","08:00","16:30","2019-03-14"
"1","08:00","16:30","2019-03-15"
"1","08:00","16:30","2019-03-16"
"1","08:00","16:30","2019-03-17"
"1","08:00","16:30","2019-03-18"
"1","08:00","16:30","2019-03-19"
"1","08:00","16:30","2019-03-20"
"1","08:00","16:30","2019-03-21"
"1","08:00","16:30","2019-03-22"
"1","08:00","16:30","2019-03-23"
"1","08:00","16:30","2019-03-24"
"1","08:00","16:30","2019-03-25"
"1","08:00","16:30","2019-03-26"
"1","08:00","16:30","2019-03-27"
"1","08:00","16:30","2019-03-28"
"1","08:00","16:30","2019-03-30"
"1","08:00","16:30","2019-03-31"
"1","08:00","16:30","2019-04-01"
"1","08:00","16:30","2019-04-02"
"1","08:00","16:30","2019-04-03"
"1","08:00","16:30","2019-04-04"
"1","08:00","16:30","2019-04-05"
"1","08:00","16:30","2019-04-06"
"1","08:00","16:30","2019-04-07"
"1","08:00","16:30","2019-04-08"
"1","08:00","16:30","2019-04-09"
"1","08:00","16:30","2019-04-10"
